,smiles,CircularFingerprint
1497,CCO[Si](CCP(=O)(OCC)OCC)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1498,C=C[Si](OCC)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1499,CCO[Si](OCC)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1500,CCO[SiH](Cl)OCC,[0. 0. 0. ... 0. 0. 0.]
1501,C=C(CO)C(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1502,CCOC(=O)C(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1503,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
1504,C=C(C)C(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1505,CCOC(=O)C(C)C[Si](C)(OCC)OCC,[0. 1. 0. ... 0. 0. 0.]
1506,CCOC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(Cl)c(Cl)c1,[0. 1. 0. ... 0. 0. 0.]
1507,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,[0. 1. 0. ... 0. 0. 0.]
1508,CCOC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(N(CCCl)CCCl)cc1)NC(C)=O,[0. 1. 0. ... 0. 0. 0.]
1509,C=CCC(CCN(CC)CC)(C(=O)OCC)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1510,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
1511,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,[0. 1. 0. ... 0. 0. 0.]
1512,C=CC(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1513,CCOC(=O)C=C(C)OP(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1514,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,[0. 0. 1. ... 0. 0. 0.]
1515,CC=CC(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1516,CCOC(=O)C=CC(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1517,CCOC(=O)C=CC(=O)OCC1CO1,[0. 0. 0. ... 0. 0. 0.]
1518,CCOC(=O)C=Cc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1519,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1,[0. 0. 0. ... 0. 0. 0.]
1520,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,[0. 0. 0. ... 0. 0. 0.]
1521,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,[0. 0. 0. ... 0. 0. 0.]
1522,CCOC(=O)C1(c2ccccc2)CCN(CCOCC2CCCO2)CC1,[0. 0. 0. ... 0. 0. 0.]
1523,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,[0. 0. 0. ... 0. 0. 0.]
1524,CCOC(=O)c1ccccc1N,[0. 0. 0. ... 0. 0. 0.]
1525,CCOC(=O)c1ccccc1O,[0. 0. 0. ... 0. 0. 0.]
1526,CCOC(=O)c1cnc2cc(OCC3CC3)c(OCC3CC3)cc2c1O,[0. 0. 0. ... 0. 0. 0.]
1527,CCOC(=O)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1528,CCOC(=O)c1ccccc1C(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1529,CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,[0. 0. 0. ... 0. 0. 0.]
1530,CCOC(=O)C1CC2C=CC1C2,[0. 0. 0. ... 0. 0. 0.]
1531,CCOC(=O)C1CC2CC1C1OC21,[0. 0. 0. ... 0. 0. 0.]
1532,CCOC(=O)C1CCc2cc(C3CCCCC3)ccc21,[0. 0. 1. ... 0. 0. 0.]
1533,CCOC(=O)C1CCCCC1C(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1534,CCOC(=O)C1OC1(C)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1535,CCOC(=O)CC(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1536,CCOC(=O)CC(C)=O,[0. 0. 0. ... 0. 0. 0.]
1537,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1538,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,[0. 1. 0. ... 0. 0. 0.]
1539,CCOC(=O)CC(SP(=O)(OC)SC)C(=O)OCC,[0. 1. 0. ... 0. 0. 0.]
1540,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,[0. 1. 0. ... 0. 0. 0.]
1541,CCOC(=O)CC[Si](C)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1542,CCOC(=O)CC[Si](OCC)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1543,CCOC(=O)Cc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1544,CCOC(=O)CCC#N,[0. 0. 0. ... 0. 0. 0.]
1545,CCOC(=O)CCC(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1546,CCOC(=O)CCC[Si](C)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1547,CCOC(=O)CCC=O,[0. 0. 0. ... 0. 0. 0.]
1548,CCOC(=O)CCCCCC#N,[0. 1. 0. ... 0. 0. 0.]
1549,CCOC(=O)CCCCCCCCC(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1550,CCOC(=O)CCCCCCl,[0. 0. 0. ... 0. 0. 0.]
1551,CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC,[0. 0. 0. ... 0. 0. 0.]
1552,CCOC(=O)COP(=S)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1553,CCOC(=O)CSP(=O)(OC)OC,[0. 0. 0. ... 0. 0. 0.]
1554,CCOC(=O)CSP(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1555,CCOC(=O)CSP(=S)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1556,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1557,CCOC(=O)N(C)N=O,[0. 0. 0. ... 0. 0. 0.]
1558,CCOC(=O)N(c1cccc(C(=O)c2ccccc2)c1)S(=O)(=O)C(F)(F)F,[0. 0. 0. ... 0. 0. 0.]
1559,CCOC(=O)N(Cc1ccccc1)C1CC1,[0. 0. 0. ... 0. 0. 0.]
1560,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,[0. 0. 0. ... 0. 0. 0.]
1561,CCOC(=O)Nc1ccco1,[0. 1. 0. ... 0. 0. 0.]
1562,CCOC(=O)NCCSP(=S)(OC)OC,[0. 0. 0. ... 0. 0. 0.]
1563,CCOC(=O)NS(=O)(=O)c1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
1564,CCOC(=S)SCSSCP(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1565,CCOC(=S)SSSC(=S)OCC,[0. 0. 0. ... 0. 0. 0.]
1566,CCOC(=S)SSSSC(=S)OCC,[0. 0. 0. ... 0. 0. 0.]
1567,CCOC(C(=N)N1CCCC1)c1ccccc1,[0. 1. 0. ... 0. 0. 0.]
1568,CCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
1569,CCOC(C)CC(OCC)OCC,[0. 1. 0. ... 0. 0. 0.]
1570,CCOC(C)CO,[0. 1. 0. ... 0. 0. 0.]
1571,CCOC(C)COC(C)CO,[0. 1. 0. ... 0. 0. 0.]
1572,CCOC(C)OCC,[0. 1. 0. ... 0. 0. 0.]
1573,CCOC(C1=NCC(C)(C)N1)c1ccc(Cl)c(Cl)c1,[0. 1. 0. ... 0. 0. 0.]
1574,CCOC(C1=NCC(C)(C)CN1)c1ccccc1,[0. 1. 0. ... 0. 0. 0.]
1575,CCOC(C1=NCC(C)(CC)CN1)c1cccc(Cl)c1,[0. 1. 0. ... 0. 0. 0.]
1576,CCOC(C1=NCC(C)(CC)CN1)c1ccccc1,[0. 1. 0. ... 0. 0. 0.]
1577,CCOC(C1=NCC(CC)(CC)CN1)c1ccc(Cl)cc1,[0. 1. 0. ... 0. 0. 0.]
1578,CCOC(C1=NCC(CC)(CC)CN1)c1cccc(Cl)c1,[0. 1. 0. ... 0. 0. 0.]
1579,CCOC(C1=NCC(CC)(CC)CN1)c1ccccc1,[0. 1. 0. ... 0. 0. 0.]
1580,CCOC(C1=NCC(OC)CN1)c1ccccc1,[0. 1. 0. ... 0. 0. 0.]
1581,CCOC(C1=NCCCN1)c1cccc2ccccc12,[0. 1. 0. ... 0. 0. 0.]
1582,CCOC(C1=NCCCN1)c1ccccc1,[0. 1. 0. ... 0. 0. 0.]
1583,CCOC(CC(OCC)OCC)OCC,[0. 1. 0. ... 0. 0. 0.]
1584,CCOC(O)C(Cl)(Cl)Cl,[0. 1. 0. ... 0. 0. 0.]
1585,C=COCC,[0. 0. 0. ... 0. 0. 0.]
1586,CC=COCC,[0. 0. 0. ... 0. 0. 0.]
1587,CCOC=CC(OCC)OCC,[0. 1. 0. ... 0. 0. 0.]
1588,CCOC=O,[0. 0. 0. ... 0. 0. 0.]
1589,CCOc1ccccc1C(N)=O,[0. 0. 0. ... 0. 0. 0.]
1590,CCOc1c(N2CCOCC2)cnn(C)c1=O,[0. 0. 0. ... 0. 0. 0.]
1591,CC=Cc1ccc(OCC)c(O)c1,[0. 0. 0. ... 0. 0. 0.]
1592,CCOc1cc(C=O)ccc1O,[0. 0. 0. ... 0. 0. 0.]
1593,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],[0. 0. 0. ... 0. 0. 0.]
1594,CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC,[0. 0. 0. ... 0. 0. 0.]
1595,CCOc1cc(OP(=S)(OC)OC)nc(CC)n1,[0. 0. 0. ... 0. 0. 0.]
1596,CCOc1ccc(C2(c3ccc(OCC)cc3)CC2(Cl)Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
1597,CCOc1ccc(C=O)cc1,[0. 0. 0. ... 0. 0. 0.]
1598,CCOc1ccc(N)cc1,[0. 0. 0. ... 0. 0. 0.]
1599,CCOc1ccc(NC(C)=O)cc1,[0. 0. 0. ... 0. 0. 0.]
1600,CCOc1ccc2cc(S(=O)(=O)O)ccc2c1N,[0. 0. 0. ... 0. 0. 0.]
1601,CCOc1ccc2ccccc2c1,[0. 0. 0. ... 0. 0. 0.]
1602,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,[0. 0. 0. ... 0. 0. 0.]
1603,CCOc1ccccc1OCC1CNCCO1,[0. 0. 0. ... 0. 0. 0.]
1604,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,[0. 0. 0. ... 0. 0. 0.]
1605,CCOc1nc(C(Cl)(Cl)Cl)ns1,[0. 0. 0. ... 0. 0. 0.]
1606,CCOc1nn(CSP(=S)(OC)OC)c(=O)s1,[0. 0. 0. ... 0. 0. 0.]
1607,CCOC1CC(C)C=CO1,[0. 0. 0. ... 0. 0. 0.]
1608,CCOC1CC(C)CCO1,[0. 0. 0. ... 0. 0. 0.]
1609,CCOC1CCC=CO1,[0. 0. 0. ... 0. 0. 0.]
1610,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,[0. 0. 0. ... 0. 0. 0.]
1611,CCOCC,[0. 0. 0. ... 0. 0. 0.]
1612,CCOCC(C)O,[0. 1. 0. ... 0. 0. 0.]
1613,CCOCC(Cl)C(OCC)OCC,[0. 1. 0. ... 0. 0. 0.]
1614,CCOCC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
1615,CCOCCC(=O)OCC,[0. 0. 0. ... 0. 0. 0.]
1616,CCOCCC(OCC)OCC,[0. 1. 0. ... 0. 0. 0.]
1617,CCOCCC=O,[0. 0. 0. ... 0. 0. 0.]
1618,CCOCCCCO,[0. 0. 0. ... 0. 0. 0.]
1619,CCOCCCO,[0. 0. 0. ... 0. 0. 0.]
1620,C=CC(=O)OCCCOCC,[0. 0. 0. ... 0. 0. 0.]
1621,CCOCCO,[0. 0. 0. ... 0. 0. 0.]
1622,C=CC(=O)OCCOCC,[0. 0. 0. ... 0. 0. 0.]
1623,CCOCCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
1624,CCOCCOc1ccc(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1625,CCOCCOCC,[0. 0. 0. ... 0. 0. 0.]
1626,CCOCCOCC(C)O,[0. 1. 0. ... 0. 0. 0.]
1627,CCOCCOCCO,[0. 0. 0. ... 0. 0. 0.]
1628,CCOCCOCCOC,[0. 0. 0. ... 0. 0. 0.]
1629,CCOCCOCCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
1630,CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2,[0. 1. 0. ... 0. 0. 0.]
1631,C=COCCOCCOCC,[0. 0. 0. ... 0. 0. 0.]
1632,CCOCCOCCOCC,[0. 0. 0. ... 0. 0. 0.]
1633,CCOCCOCCOCCO,[0. 0. 0. ... 0. 0. 0.]
1634,CCOCCOCCOCCOCCOCC,[0. 0. 0. ... 0. 0. 0.]
1635,CCON(CC)N=O,[0. 0. 0. ... 0. 0. 0.]
1636,CCOP(=O)(CC)Oc1cc(C)nc(SCC)n1,[0. 0. 0. ... 0. 0. 0.]
1637,CCOP(=O)(CC)Sc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1638,CCOP(=O)(CC)SCSCSP(=O)(CC)OCC,[0. 0. 0. ... 0. 0. 0.]
1639,CCOP(=O)(CCCl)OCC,[0. 0. 0. ... 0. 0. 0.]
1640,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,[0. 1. 0. ... 0. 0. 0.]
1641,CCOP(=O)(NC(C)C)SCC(=O)NCOC,[0. 1. 0. ... 0. 0. 0.]
1642,CCOP(=O)(OC=CCl)N(CC)CC,[0. 0. 0. ... 0. 0. 0.]
1643,CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,[0. 0. 0. ... 0. 0. 0.]
1644,CCOP(=O)(OC=C(Cl)Cl)OCC(Cl)CCl,[0. 1. 0. ... 0. 0. 0.]
1645,C=C(OP(=O)(OC)OC)P(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1646,CCOP(=O)(OCC)C(O)(C(F)F)C(F)F,[0. 1. 0. ... 0. 0. 0.]
1647,CCOP(=O)(OCC)C(SCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1648,CCOP(=O)(OCC)C(SCC)(Sc1ccccc1)P(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1649,CCOP(=O)(N=C1SCC(C)S1)OCC,[0. 0. 0. ... 0. 0. 0.]
1650,CCOP(=O)(N=C1SCCS1)OCC,[0. 0. 0. ... 0. 0. 0.]
1651,CCOP(=O)(N=C1SCS1)OCC,[0. 0. 0. ... 0. 0. 0.]
1652,C=C(OP(=O)(OCC)OCC)P(=O)(OC)OC,[0. 0. 0. ... 0. 0. 0.]
1653,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1654,CCOP(=O)(OCC)OC(C)=CC(=O)N(C)C,[0. 0. 0. ... 0. 0. 0.]
1655,CCOP(=O)(OCC)OC(C)=CC(=O)OC(C)c1ccccc1,[0. 1. 0. ... 0. 0. 0.]
1656,CCOP(=O)(OCC)OC(C)=CSC,[0. 0. 0. ... 0. 0. 0.]
1657,CCOP(=O)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,[0. 0. 0. ... 0. 0. 0.]
1658,CCOP(=O)(OCC)OC(=CC(=O)OC)CC(=O)OC,[0. 0. 0. ... 0. 0. 0.]
1659,CCOP(=O)(OC=C(Cl)Cl)OCC,[0. 0. 0. ... 0. 0. 0.]
1660,CCOP(=O)(OC=C(SCC)SCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1661,CCOP(=O)(OC=CCl)OCC,[0. 0. 0. ... 0. 0. 0.]
1662,CCOP(=O)(OC=CCSCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1663,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,[0. 0. 0. ... 0. 0. 0.]
1664,CCOP(=O)(OCC)Oc1ccc(S(C)(=O)=O)cc1,[0. 0. 0. ... 0. 0. 0.]
1665,CCOP(=O)(OCC)Oc1ccc(SC)c(C)c1,[0. 0. 0. ... 0. 0. 0.]
1666,CCOP(=O)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,[0. 0. 0. ... 0. 0. 0.]
1667,CCOP(=O)(OCC)Oc1ccc2c(C)cc(=O)oc2c1,[0. 0. 0. ... 0. 0. 0.]
1668,CCOP(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1669,CCOP(=O)(OCC)OCn1c(=O)oc2cc(Cl)ccc21,[0. 0. 0. ... 0. 0. 0.]
1670,CCOP(=O)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,[0. 0. 0. ... 0. 0. 0.]
1671,CCOP(=O)(OCC)OP(=O)(N(C)C)N(C)C,[0. 0. 0. ... 0. 0. 0.]
1672,CCOP(=O)(OCC)OP(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1673,CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1674,CCOP(=O)(OCC)OP(=S)(CCl)OCC(C)C,[0. 1. 0. ... 0. 0. 0.]
1675,CCOP(=O)(OCC)SC(Cl)=CCl,[0. 0. 0. ... 0. 0. 0.]
1676,CCOP(=O)(OCC)SC(Cl)C(Cl)Cl,[0. 1. 0. ... 0. 0. 0.]
1677,CCOP(=O)(OCC)SC(P(=O)(OCC)OCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1678,CCOP(=O)(OCC)SC=C(Cl)Cl,[0. 0. 0. ... 0. 0. 0.]
1679,CCOP(=O)(OCC)Sc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,[0. 0. 0. ... 0. 0. 0.]
1680,CCOP(=O)(OCC)Sc1ccc([N+](=O)[O-])cc1,[0. 0. 0. ... 0. 0. 0.]
1681,CCOP(=O)(OCC)SC1CCOC1=O,[0. 0. 0. ... 0. 0. 0.]
1682,CCOP(=O)(OCC)SC1CS(=O)CC1Cl,[0. 0. 0. ... 0. 0. 0.]
1683,C#CCSP(=O)(OCC)OCC,[0. 0. 0. ... 0. 0. 0.]
1684,CCOP(=O)(OCC)SCC(=O)NC(C)(C)C#N,[0. 0. 0. ... 0. 0. 0.]
1685,CCOP(=O)(OCC)SCC(C)(SCC)SCC,[0. 0. 0. ... 0. 0. 0.]
1686,CCOP(=O)(OCC)SCC1(C)SCCS1,[0. 0. 0. ... 0. 0. 0.]
1687,CCOP(=O)(OCC)SCc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1688,CCOP(=O)(OCC)SCCN(CC)CC,[0. 0. 0. ... 0. 0. 0.]
1689,CCOP(=O)(OCC)SCCS(=O)(=O)CC,[0. 0. 0. ... 0. 0. 0.]
1690,CCOP(=O)(OCC)SCCS(=O)CC,[0. 0. 0. ... 0. 0. 0.]
1691,CCOP(=O)(OCC)SCCSCC,[0. 0. 0. ... 0. 0. 0.]
1692,CCOP(=O)(OCC)SCN1C(=O)c2ccccc2C1=O,[0. 0. 0. ... 0. 0. 0.]
1693,CCOP(=O)(OCC)SCS(=O)(=O)CC,[0. 0. 0. ... 0. 0. 0.]
1694,CCOP(=O)(OCC)SCS(=O)CC,[0. 0. 0. ... 0. 0. 0.]
1695,CCOP(=O)(OCC)SCSc1cc(Cl)ccc1Cl,[0. 0. 0. ... 0. 0. 0.]
1696,CCOP(=O)(OCC)SCSCC,[0. 0. 0. ... 0. 0. 0.]
1697,CCOP(=O)(OP(=O)(OCC)N(C)C)N(C)C,[0. 0. 0. ... 0. 0. 0.]
1698,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1699,CCOP(=S)(CC)Oc1cc(Cl)ccc1Cl,[0. 0. 0. ... 0. 0. 0.]
1700,CCOP(=S)(CC)Oc1cc(Cl)c(Br)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1701,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1702,CCOP(=S)(CC)Oc1ccc([N+](=O)[O-])c(C)c1,[0. 0. 0. ... 0. 0. 0.]
1703,CCOP(=S)(CC)Oc1ccc(S(C)=O)cc1,[0. 0. 0. ... 0. 0. 0.]
1704,CCOP(=S)(CC)Oc1ccc([N+](=O)[O-])cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1705,CCOP(=S)(CC)Oc1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
1706,CCOP(=S)(CC)Oc1ccc(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1707,CCOP(=S)(CC)Sc1ccc(C)cc1,[0. 0. 0. ... 0. 0. 0.]
1708,CCOP(=S)(CC)Sc1ccc(C(C)(C)C)cc1,[0. 0. 0. ... 0. 0. 0.]
1709,CCOP(=S)(CC)Sc1ccc(Cl)c(C)c1,[0. 0. 0. ... 0. 0. 0.]
1710,CCOP(=S)(CC)Sc1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
1711,CCOP(=S)(CC)Sc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1712,CCOP(=S)(CC)Sc1ccccc1C,[0. 0. 0. ... 0. 0. 0.]
1713,CCOP(=S)(CC)SCN1C(=O)c2ccccc2C1=O,[0. 0. 0. ... 0. 0. 0.]
1714,CCOP(=S)(CC)SCOc1ccc(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1715,CCOP(=S)(CC)SCSc1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
1716,CCOP(=S)(CC)SCSCSP(=S)(CC)OCC,[0. 0. 0. ... 0. 0. 0.]
1717,CCOP(=S)(CCl)Oc1ccc([N+](=O)[O-])cc1,[0. 0. 0. ... 0. 0. 0.]
1718,CCOP(=S)(CCl)Oc1ccc(C#N)cc1OC,[0. 0. 0. ... 0. 0. 0.]
1719,CCOP(=S)(CCl)Sc1ccc(C)cc1,[0. 0. 0. ... 0. 0. 0.]
1720,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,[0. 1. 0. ... 0. 0. 0.]
1721,CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],[0. 1. 0. ... 0. 0. 0.]
1722,CCOP(=S)(NC)Oc1ccc(SC)c(C)c1,[0. 0. 0. ... 0. 0. 0.]
1723,CCOP(=S)(OC(C)C)ON1C(=O)c2ccccc2C1=O,[0. 1. 0. ... 0. 0. 0.]
1724,CCOP(=S)(OC(C)C)Sc1nc(C)cc(C)n1,[0. 1. 0. ... 0. 0. 0.]
1725,CCOP(=S)(OC(C)C)SCN1C(=O)c2ccccc2C1=O,[0. 1. 0. ... 0. 0. 0.]
1726,CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1727,CCOP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,[0. 0. 0. ... 0. 0. 0.]
1728,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1729,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1730,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,[0. 0. 0. ... 0. 0. 0.]
1731,CCOP(=S)(N=C1SCCS1)OCC,[0. 0. 0. ... 0. 0. 0.]
1732,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,[0. 0. 0. ... 0. 0. 0.]
1733,CCOP(=S)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,[0. 0. 0. ... 0. 0. 0.]
1734,CCOP(=S)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1735,CCOP(=S)(OCC)Oc1cc(Cl)c(SC)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1736,CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,[0. 0. 0. ... 0. 0. 0.]
1737,CCOP(=S)(OCC)Oc1ccc(SC)c(C)c1,[0. 0. 0. ... 0. 0. 0.]
1738,CCOP(=S)(OCC)Oc1cc(C)nc2ccccc12,[0. 0. 0. ... 0. 0. 0.]
1739,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1740,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])c(Cl)c1,[0. 0. 0. ... 0. 0. 0.]
1741,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,[0. 0. 0. ... 0. 0. 0.]
1742,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,[0. 0. 0. ... 0. 0. 0.]
1743,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1744,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1745,CCOP(=S)(OCC)Oc1ccc(N)cc1,[0. 0. 0. ... 0. 0. 0.]
1746,CCOP(=S)(OCC)Oc1ccc2c(C)cc(=O)oc2c1,[0. 0. 0. ... 0. 0. 0.]
1747,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,[0. 0. 0. ... 0. 0. 0.]
1748,CCOP(=S)(OCC)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,[0. 0. 0. ... 0. 0. 0.]
1749,CCOP(=S)(OCC)Oc1cc2ccccc2oc1=O,[0. 0. 0. ... 0. 0. 0.]
1750,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,[0. 0. 0. ... 0. 0. 0.]
1751,CCOP(=S)(OCC)Oc1cnccn1,[0. 0. 0. ... 0. 0. 0.]
1752,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,[0. 1. 0. ... 0. 0. 0.]
1753,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,[0. 0. 0. ... 0. 0. 0.]
1754,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,[0. 0. 0. ... 0. 0. 0.]
1755,CCOP(=S)(OCC)Oc1cccc(F)n1,[0. 0. 0. ... 0. 0. 0.]
1756,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,[0. 0. 0. ... 0. 0. 0.]
1757,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,[0. 1. 0. ... 0. 0. 0.]
1758,CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,[0. 0. 0. ... 0. 0. 0.]
1759,CCOP(=S)(OCC)Oc1cc(C)[nH]n1,[0. 0. 0. ... 0. 0. 0.]
1760,CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1,[0. 0. 0. ... 0. 0. 0.]
1761,CCOP(=S)(OCC)OCCS(=O)(=O)CC,[0. 0. 0. ... 0. 1. 0.]
1762,CCOP(=S)(OCC)OCCS(=O)CC,[0. 0. 0. ... 0. 0. 0.]
