,compound_name,species,smiles,rat_LD50,units,source
1724,"Phosphorodithioic acid, S-(4,6-dimethyl-2-pyrimidinyl) O-ethyl O-(1-methylethyl) ester (9CI)",Rat,CCOP(=S)(OC(C)C)Sc1nc(C)cc(C)n1,-3.654,log(mol/kg),https://doi.org/10.1021/tx900189p
1725,"Phosphorodithioic acid, O-ethyl, O-isopropyl ester, S-ester N-(mercaptomethyl)phthalimide",Rat,CCOP(=S)(OC(C)C)SCN1C(=O)c2ccccc2C1=O,-3.857,log(mol/kg),https://doi.org/10.1021/tx900189p
1726,"Phosphorothioic acid, O-ethyl O-methyl O-(2,4,5-trichlorophenyl) ester",Rat,CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-3.029,log(mol/kg),https://doi.org/10.1021/tx900189p
1727,"Phosphorodithioic acid, O-ethyl O-methyl ester, S-ester with N-(mercaptomethyl)phthalimide",Rat,CCOP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,-3.821,log(mol/kg),https://doi.org/10.1021/tx900189p
1728,"Phosphonothioic acid, phenyl-, O-ethyl ester, O-ester with p-hydroxybenzonitrile",Rat,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,-4.027,log(mol/kg),https://doi.org/10.1021/tx900189p
1729,"Phosphonothioic acid, phenyl-, O-ethyl O-(4-nitrophenyl) ester",Rat,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,-4.665,log(mol/kg),https://doi.org/10.1021/tx900189p
1730,"Phosphorothioic acid, O-ethyl O,O-bis(4-nitrophenyl) ester (9CI)",Rat,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,-3.759,log(mol/kg),https://doi.org/10.1021/tx900189p
1731,"Imidocarbonic acid, (diethoxyphosphinothioyl)dithio-, cyclic ethylene ester",Rat,CCOP(=S)(N=C1SCCS1)OCC,-4.287,log(mol/kg),https://doi.org/10.1021/tx900189p
1732,"(1,3-Dihydro-1,3-dioxo-2H-isoindol-2-yl)phosphonothioic acid O,O-diethyl ester",Rat,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-1.783,log(mol/kg),https://doi.org/10.1021/tx900189p
1733,"Phosphorothioic acid, O-(2-chloro-1-(2,5-dichlorophenyl)ethenyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,-3.952,log(mol/kg),https://doi.org/10.1021/tx900189p
1734,"Phosphorothioic acid, O-(2-chloro-1-(2,4-dichlorophenyl)ethenyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,-4.575,log(mol/kg),https://doi.org/10.1021/tx900189p
1735,"O,O-Diethyl-O-(2,5-dichloro-4-(methylthio)phenyl)thionophosphate combined with O,O-diethyl-O-(4,5-dichloro-2- (methylthio)phenyl)thionophosphate and O,O-diethyl-O- (2,4-dichloro-5-(methylthio)phenyl)thionophosphate",Rat,CCOP(=S)(OCC)Oc1cc(Cl)c(SC)cc1Cl,-4.444,log(mol/kg),https://doi.org/10.1021/tx900189p
1736,"Phosphorothioic acid, O-(3,5-dimethyl-4-(methylthio)phenyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,-2.932,log(mol/kg),https://doi.org/10.1021/tx900189p
1737,"Phosphorothioic acid, O,O-diethyl O-(3-methyl-4-(methylthio)phenyl) ester",Rat,CCOP(=S)(OCC)Oc1ccc(SC)c(C)c1,-4.34,log(mol/kg),https://doi.org/10.1021/tx900189p
1738,"Phosphorothioic acid, O,O-diethyl O-(2-methyl-4-quinolyl) ester",Rat,CCOP(=S)(OCC)Oc1cc(C)nc2ccccc12,-3.794,log(mol/kg),https://doi.org/10.1021/tx900189p
1739,"Phosphorothioic acid, O-(4-bromo-2,5-dichlorophenyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,-3.88,log(mol/kg),https://doi.org/10.1021/tx900189p
1740,"Phosphorothioic acid, O-(3-chloro-4-nitrophenyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])c(Cl)c1,-3.814,log(mol/kg),https://doi.org/10.1021/tx900189p
1741,"Phosphorothioic acid, O,O-diethyl O-(4-nitrophenyl) ester",Rat,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-5.1629999999999985,log(mol/kg),https://doi.org/10.1021/tx900189p
1742,"Phosphorothioic acid, O,O-diethyl O-(4-(methylsulfinyl)phenyl) ester",Rat,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-5.188,log(mol/kg),https://doi.org/10.1021/tx900189p
1743,"Phosphorothioic acid, O-(2-chloro-4-nitrophenyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.513,log(mol/kg),https://doi.org/10.1021/tx900189p
1744,"Phosphorothioic acid, O-(2,4-dichlorophenyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,-3.263,log(mol/kg),https://doi.org/10.1021/tx900189p
1745,"Phosphorothioic acid, O-(4-aminophenyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Oc1ccc(N)cc1,-2.764,log(mol/kg),https://doi.org/10.1021/tx900189p
1746,"Phosphorothioic acid, O,O-diethyl O-(4-methyl-2-oxo-2H-1-benzopyran-7-yl) ester (9CI)",Rat,CCOP(=S)(OCC)Oc1ccc2c(C)cc(=O)oc2c1,-4.349,log(mol/kg),https://doi.org/10.1021/tx900189p
1747,"Phosphorothioic acid, O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-4.4460000000000015,log(mol/kg),https://doi.org/10.1021/tx900189p
1748,"1-Cyclohexene-1-carboxylic acid, 2-(2,4-dihydroxyphenyl)-, delta-lactone, O-ester with O,O-diethyl phosphorothioate",Rat,CCOP(=S)(OCC)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,-3.74,log(mol/kg),https://doi.org/10.1021/tx900189p
1749,"Phosphorothioic acid, O,O-diethyl ester, O-ester with 3-hydroxycumarin",Rat,CCOP(=S)(OCC)Oc1cc2ccccc2oc1=O,-4.383,log(mol/kg),https://doi.org/10.1021/tx900189p
1750,"Phosphorothioic acid, O,O-diethyl O-(2-quinoxalinyl) ester",Rat,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,-4.06,log(mol/kg),https://doi.org/10.1021/tx900189p
1751,"Phosphorothioic acid, O,O-diethyl O-pyrazinyl ester",Rat,CCOP(=S)(OCC)Oc1cnccn1,-4.851,log(mol/kg),https://doi.org/10.1021/tx900189p
1752,"Phosphorothioic acid, O,O-diethyl O-(6-methyl-2-(1-methylethyl)-4-pyrimidinyl) ester",Rat,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.664,log(mol/kg),https://doi.org/10.1021/tx900189p
1753,"Phosphorothioic acid, O,O-diethyl O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) ester",Rat,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,-3.377,log(mol/kg),https://doi.org/10.1021/tx900189p
1754,"Phosphorothioic acid, O,O-diethyl O-(3,5,6-trichloro-2-pyridinyl) ester",Rat,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-3.631,log(mol/kg),https://doi.org/10.1021/tx900189p
1755,"Phosphorothioic acid, O,O-diethyl O-(6-fluoro-2-pyridyl) ester",Rat,CCOP(=S)(OCC)Oc1cccc(F)n1,-4.3439999999999985,log(mol/kg),https://doi.org/10.1021/tx900189p
1756,"Phosphorothioic acid, O,O-diethyl ester, O-ester with 6-hydroxy-2-phenyl-3(2H)pyridazinone",Rat,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,-2.6460000000000004,log(mol/kg),https://doi.org/10.1021/tx900189p
1757,"Phosphorothioic acid, O-(5-chloro-1-(1-methylethyl)-1H-1,2,4-triazol-3-yl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.895,log(mol/kg),https://doi.org/10.1021/tx900189p
1758,"Phosphorothioic acid, O,O-diethyl O-(1-phenyl-1H-1,2,4-triazol-3-yl) ester",Rat,CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,-3.69,log(mol/kg),https://doi.org/10.1021/tx900189p
1759,"Phosphorothioic acid, O,O-diethyl-O-(5-methyl-3-pyrazolyl) ester",Rat,CCOP(=S)(OCC)Oc1cc(C)[nH]n1,-4.319,log(mol/kg),https://doi.org/10.1021/tx900189p
1760,"Phosphorothioic acid, O,O-diethyl O-(5-phenyl-3-isoxazolyl) ester",Rat,CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1,-3.447,log(mol/kg),https://doi.org/10.1021/tx900189p
1761,"Phosphorothioic acid, O,O-diethyl O-(2-(ethylsulfonyl)ethyl) ester",Rat,CCOP(=S)(OCC)OCCS(=O)(=O)CC,-3.509,log(mol/kg),https://doi.org/10.1021/tx900189p
1762,"Phosphorothioic acid, O,O-diethyl O-(2-(ethylsulfinyl)ethyl) ester",Rat,CCOP(=S)(OCC)OCCS(=O)CC,-3.438,log(mol/kg),https://doi.org/10.1021/tx900189p
1763,"Phosphorothioic acid, O,O-diethyl ester O-(2-(ethylthio)ethyl) ester",Rat,CCOP(=S)(OCC)OCCSCC,-4.537,log(mol/kg),https://doi.org/10.1021/tx900189p
1764,"3,5-Dioxa-6-aza-4-phosphaoct-6-ene-8-nitrile, 4-ethoxy-7-phenyl-, 4-sulfide",Rat,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-2.998,log(mol/kg),https://doi.org/10.1021/tx900189p
1765,"1H-Benz(de)isoquinoline-1,3(2H)-dione, 2-((diethoxyphosphinothioyl)oxy)-",Rat,CCOP(=S)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,-2.864,log(mol/kg),https://doi.org/10.1021/tx900189p
1766,"Thiodiphosphoric acid (((HO)2P(S))2O), tetraethyl ester (9CI)",Rat,CCOP(=S)(OCC)OP(=S)(OCC)OCC,-4.809,log(mol/kg),https://doi.org/10.1021/tx900189p
1767,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with mercaptophenyl acetonitrile (8CI)",Rat,CCOP(=S)(OCC)SC(C#N)c1ccccc1,-3.479,log(mol/kg),https://doi.org/10.1021/tx900189p
1768,"Maleic acid, mercapto-, dimethyl ester, S-ester with O,O-diethyl phosphorodithioate",Rat,CCOP(=S)(OCC)SC(=CC(=O)OC)C(=O)OC,-3.613,log(mol/kg),https://doi.org/10.1021/tx900189p
1769,"Acetic acid, mercaptophenyl-, 2-fluoroethyl ester, S-ester with O,O-diethyl phosphorodithioate",Rat,CCOP(=S)(OCC)SC(C(=O)OCCF)c1ccccc1,-4.865,log(mol/kg),https://doi.org/10.1021/tx900189p
1770,"Phosphorodithioic acid, S-((4-chlorophenyl)phenylmethyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SC(c1ccccc1)c1ccc(Cl)cc1,-1.588,log(mol/kg),https://doi.org/10.1021/tx900189p
1771,"Phosphorodithioic acid, S-(2-bromo-1-(1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)ethyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SC(CBr)N1C(=O)c2ccccc2C1=O,-4.386,log(mol/kg),https://doi.org/10.1021/tx900189p
1772,"Phosphorodithioic acid, S-(2-chloro-1-(1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)ethyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-4.896,log(mol/kg),https://doi.org/10.1021/tx900189p
1773,"Phosphorodithioic acid, O,O-diethyl S-(p-tolyl) ester",Rat,CCOP(=S)(OCC)Sc1ccc(C)cc1,-2.942,log(mol/kg),https://doi.org/10.1021/tx900189p
1774,"Phosphorodithioic acid, S-(4,6-dimethyl-2-pyrimidinyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)Sc1nc(C)cc(C)n1,-3.695,log(mol/kg),https://doi.org/10.1021/tx900189p
1775,"Phosphorodithioic acid, O,O-diethyl S-9-thiabicyclo(3.3.1)non-6-en-2-yl ester",Rat,CCOP(=S)(OCC)SC1CCC2C=CCC1S2,-3.365,log(mol/kg),https://doi.org/10.1021/tx900189p
1776,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with dihydro-3-mercapto-2(3H)-furanone",Rat,CCOP(=S)(OCC)SC1CCOC1=O,-2.432,log(mol/kg),https://doi.org/10.1021/tx900189p
1777,"Phosphorodithioic acid, O,O-diethyl S-(tetrahydro-3-thienyl) ester",Rat,CCOP(=S)(OCC)SC1CCSC1,-4.134,log(mol/kg),https://doi.org/10.1021/tx900189p
1778,"Phosphorodithioic acid, O,O-diethyl S-1,4-oxathiolan-3-yl ester",Rat,CCOP(=S)(OCC)SC1COCCS1,-4.9830000000000005,log(mol/kg),https://doi.org/10.1021/tx900189p
1779,"A mixture consisting essentially of cis- and trans-S,S'-5,5'-p-dioxane-2,3-diyl bis(O,O-diethyl phosphorodithioate)",Rat,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,-4.3580000000000005,log(mol/kg),https://doi.org/10.1021/tx900189p
1780,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with 1-(mercaptoacetyl)-1-methylurea",Rat,CCOP(=S)(OCC)SCC(=O)N(C)C(N)=O,-4.273,log(mol/kg),https://doi.org/10.1021/tx900189p
1781,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with N,N-diallyl-2-mercaptoacetamide",Rat,C=CCN(CC=C)C(=O)CSP(=S)(OCC)OCC,-3.829,log(mol/kg),https://doi.org/10.1021/tx900189p
1782,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with N-(2-cyanoethyl)-2-mercaptoacetanilide",Rat,CCOP(=S)(OCC)SCC(=O)N(CCC#N)c1ccccc1,-4.395,log(mol/kg),https://doi.org/10.1021/tx900189p
1783,"Phosphorodithioic acid, O,O-diethyl S-(2-((1-methylethyl)amino)-2-oxoethyl) ester (9CI)",Rat,CCOP(=S)(OCC)SCC(=O)NC(C)C,-4.552,log(mol/kg),https://doi.org/10.1021/tx900189p
1784,"Acetic acid, mercapto-, methyl ester, S-ester with O,O-diethyl phosphorodithioate",Rat,CCOP(=S)(OCC)SCC(=O)OC,-2.412,log(mol/kg),https://doi.org/10.1021/tx900189p
1785,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with 2-mercaptoacetamide",Rat,CCOP(=S)(OCC)SCC(N)=O,-4.386,log(mol/kg),https://doi.org/10.1021/tx900189p
1786,"Phosphorodithioic acid, O,O-diethyl S-m-nitrobenzyl ester",Rat,CCOP(=S)(OCC)SCc1cccc([N+](=O)[O-])c1,-3.109,log(mol/kg),https://doi.org/10.1021/tx900189p
1787,"Phosphorodithioic acid, O,O-diethyl S-((4-nitrophenyl)methyl) ester",Rat,CCOP(=S)(OCC)SCc1ccc([N+](=O)[O-])cc1,-3.507,log(mol/kg),https://doi.org/10.1021/tx900189p
1788,"Phosphorodithioic acid, O,O-diethyl S-(3,4,4-trifluoro-3-butenyl) ester",Rat,CCOP(=S)(OCC)SCCC(F)=C(F)F,-2.636,log(mol/kg),https://doi.org/10.1021/tx900189p
1789,"Phosphorodithioic acid, S-(chloromethyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SCCl,-4.525,log(mol/kg),https://doi.org/10.1021/tx900189p
1790,"Phosphorodithioic acid, O,O-diethyl S-(2-(ethylsulfonyl)ethyl)ester",Rat,CCOP(=S)(OCC)SCCS(=O)(=O)CC,-4.6110000000000015,log(mol/kg),https://doi.org/10.1021/tx900189p
1791,"Phosphorodithioic acid, O,O-diethyl S-((ethylsulfinyl)ethyl) ester",Rat,CCOP(=S)(OCC)SCCS(=O)CC,-4.919,log(mol/kg),https://doi.org/10.1021/tx900189p
1792,"Phosphorodithioic acid, O,O-diethyl S-(2-(ethylthio)ethyl) ester",Rat,CCOP(=S)(OCC)SCCSCC,-5.1370000000000005,log(mol/kg),https://doi.org/10.1021/tx900189p
1793,"Phosphorodithioic acid, O,O-diethyl S-(2-((methylcarbamoyl)methylthio)ethyl) ester",Rat,CCOP(=S)(OCC)SCCSCC(=O)NC,-4.246,log(mol/kg),https://doi.org/10.1021/tx900189p
1794,"Phosphorodithioic acid, S-((1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SCN1C(=O)c2ccccc2C1=O,-3.905,log(mol/kg),https://doi.org/10.1021/tx900189p
1795,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with 3-(mercaptomethyl)-2,4-thiazolidinedione",Rat,CCOP(=S)(OCC)SCN1C(=O)CSC1=O,-4.137,log(mol/kg),https://doi.org/10.1021/tx900189p
1796,"Phosphorodithioic acid, S-((6-chloro-2-oxo-3(2H)-benzoxazolyl)methyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-3.636,log(mol/kg),https://doi.org/10.1021/tx900189p
1797,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with 3-(mercaptomethyl)-2-benzoxazolinone",Rat,CCOP(=S)(OCC)SCn1c(=O)oc2ccccc21,-3.614,log(mol/kg),https://doi.org/10.1021/tx900189p
1798,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with 3-(mercaptomethyl)-2-benzothiazolinone",Rat,CCOP(=S)(OCC)SCn1c(=O)sc2ccccc21,-3.543,log(mol/kg),https://doi.org/10.1021/tx900189p
1799,"Phosphorodithioic acid, O,O-diethyl ester, S-ester with 3-(mercaptomethyl)-1,2,3-benzotriazin-4(3H)-one",Rat,CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,-4.6930000000000005,log(mol/kg),https://doi.org/10.1021/tx900189p
1800,"Phosphorodithioic acid, O,O-diethyl S-((ethylsulfonyl)methyl) ester",Rat,CCOP(=S)(OCC)SCS(=O)(=O)CC,-5.235,log(mol/kg),https://doi.org/10.1021/tx900189p
1801,"Phosphorodithioic acid, O,O-diethyl S-((ethylsulfinyl)methyl) ester",Rat,CCOP(=S)(OCC)SCS(=O)CC,-5.14,log(mol/kg),https://doi.org/10.1021/tx900189p
1802,"Phosphorodithioic acid, O,O-diethyl S-(((1,1-dimethylethyl)thio)methyl) ester",Rat,CCOP(=S)(OCC)SCSC(C)(C)C,-5.256,log(mol/kg),https://doi.org/10.1021/tx900189p
1803,"Phosphorodithioic acid, O,O-diethyl S-((1-methylethyl)thio)methyl ester",Rat,CCOP(=S)(OCC)SCSC(C)C,-5.397,log(mol/kg),https://doi.org/10.1021/tx900189p
1804,"Phosphorodithioic acid, S-(((2,5-dichlorophenyl)thio)methyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SCSc1cc(Cl)ccc1Cl,-3.933,log(mol/kg),https://doi.org/10.1021/tx900189p
1805,"Phosphorodithioic acid, (((3,4-dichlorophenyl)thio)methyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SCSc1ccc(Cl)c(Cl)c1,-3.627,log(mol/kg),https://doi.org/10.1021/tx900189p
1806,"Phosphorodithioic acid, S-(((4-chlorophenyl)thio)methyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-4.703,log(mol/kg),https://doi.org/10.1021/tx900189p
1807,"Phosphorodithioic acid, O,O-diethyl S-(ethylthio)methyl ester",Rat,CCOP(=S)(OCC)SCSCC,-5.416,log(mol/kg),https://doi.org/10.1021/tx900189p
1808,"Phosphorodithioic acid, S-((benzylthio)methyl) O,O-diethyl ester",Rat,CCOP(=S)(OCC)SCSCc1ccccc1,-4.73,log(mol/kg),https://doi.org/10.1021/tx900189p
1809,"Phosphorodithioic acid, S,S'-(thiobis(methylene)) O,O,O',O'-tetraethyl ester (9CI)",Rat,CCOP(=S)(OCC)SCSCSP(=S)(OCC)OCC,-4.705,log(mol/kg),https://doi.org/10.1021/tx900189p
1810,"Phosphorodithioic acid, S,S'-methylene O,O,O',O'-tetraethyl ester",Rat,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-4.471,log(mol/kg),https://doi.org/10.1021/tx900189p
1811,"Phosphorotrithioic acid, O,S,S-triethyl ester",Rat,CCOP(=S)(SCC)SCC,-1.818,log(mol/kg),https://doi.org/10.1021/tx900189p
1812,"Phosphonothioic acid, methyl-, S-(2-(dimethylamino)ethyl) O-ethyl ester",Rat,CCOP(C)(=O)SCCN(C)C,-6.238,log(mol/kg),https://doi.org/10.1021/tx900189p
1813,"Phosphonothioic acid, methyl-, O-ethyl O-6-quinolinyl ester",Rat,CCOP(C)(=S)Oc1ccc2ncccc2c1,-4.728,log(mol/kg),https://doi.org/10.1021/tx900189p
1814,"Phosphorochloridic acid, diethyl ester",Rat,CCOP(=O)(Cl)OCC,-4.1960000000000015,log(mol/kg),https://doi.org/10.1021/tx900189p
1815,"Phosphorochloridothioic acid, O,O-diethyl ester",Rat,CCOP(=S)(Cl)OCC,-2.148,log(mol/kg),https://doi.org/10.1021/tx900189p
1816,"Phosphorodichloridothioic acid, O-ethyl ester",Rat,CCOP(=S)(Cl)Cl,-2.299,log(mol/kg),https://doi.org/10.1021/tx900189p
1817,"Phosphoramidothioic acid, O-ethyl S-methyl ester",Rat,CCOP(N)(=O)SC,-4.492,log(mol/kg),https://doi.org/10.1021/tx900189p
1818,"Phosphorothioic acid, O-ethyl S-(4-methylphenyl) ester (9CI)",Rat,CCOP(=O)(O)Sc1ccc(C)cc1,-3.667,log(mol/kg),https://doi.org/10.1021/tx900189p
1819,"Butanoic acid, 2-((diethoxyphosphinyl)oxy)-3-oxo-, ethyl ester",Rat,CCOC(=O)C(OP(OCC)OCC)C(C)=O,-3.18,log(mol/kg),https://doi.org/10.1021/tx900189p
1820,"Phosphorous acid, triethyl ester",Rat,CCOP(OCC)OCC,-1.715,log(mol/kg),https://doi.org/10.1021/tx900189p
1821,"Phosphorodithioic acid, O,O-diethyl ester",Rat,CCOP(=S)(S)OCC,-1.616,log(mol/kg),https://doi.org/10.1021/tx900189p
1822,"Sulfuric acid, diethyl ester",Rat,CCOS(=O)(=O)OCC,-2.244,log(mol/kg),https://doi.org/10.1021/tx900189p
1823,"Phosphonic acid, ethyl-, methyl p-tolyl ester",Rat,CCP(=O)(OC)Oc1ccc(C)cc1,-2.654,log(mol/kg),https://doi.org/10.1021/tx900189p
1824,"Phosphonic acid, ethyl-, methyl (p-cyanophenyl) ester",Rat,CCP(=O)(OC)Oc1ccc(C#N)cc1,-5.46,log(mol/kg),https://doi.org/10.1021/tx900189p
1825,"Phosphonic acid, ethyl-, methyl p-nitrophenyl ester",Rat,CCP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,-5.212999999999999,log(mol/kg),https://doi.org/10.1021/tx900189p
1826,"Phosphonic acid, ethyl-, methyl p-(methylsulfonyl)phenyl ester",Rat,CCP(=O)(OC)Oc1ccc(S(C)(=O)=O)cc1,-5.541,log(mol/kg),https://doi.org/10.1021/tx900189p
1827,"Phosphonic acid, ethyl-, p-chlorophenyl methyl ester",Rat,CCP(=O)(OC)Oc1ccc(Cl)cc1,-3.379,log(mol/kg),https://doi.org/10.1021/tx900189p
1828,"Phosphonothioic acid, ethyl-, O-(2-chloro-4-nitrophenyl) O-(1-methylethyl) ester",Rat,CCP(=S)(Oc1ccc([N+](=O)[O-])cc1Cl)OC(C)C,-4.005,log(mol/kg),https://doi.org/10.1021/tx900189p
1829,"Phosphonodithioic acid, ethyl-, S-((1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl) O-(1-methylethyl) ester",Rat,CCP(=S)(OC(C)C)SCN1C(=O)c2ccccc2C1=O,-4.5360000000000005,log(mol/kg),https://doi.org/10.1021/tx900189p
1830,"Phosphonothioic acid, ethyl-, O-(4-bromo-2,5-dichlorophenyl) O-methyl ester",Rat,CCP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-3.658,log(mol/kg),https://doi.org/10.1021/tx900189p
1831,"Phosphonothioic acid, ethyl-, O-(2-chloro-4-nitrophenyl) O-methyl ester",Rat,CCP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.109,log(mol/kg),https://doi.org/10.1021/tx900189p
1832,"Phosphonodithioic acid, ethyl-, O-methyl S-(4-methylphenyl) ester",Rat,CCP(=S)(OC)Sc1ccc(C)cc1,-3.423,log(mol/kg),https://doi.org/10.1021/tx900189p
1833,"Phosphonodithioic acid, ethyl-, S-(p-tert-butylphenyl) O-methyl ester",Rat,CCP(=S)(OC)Sc1ccc(C(C)(C)C)cc1,-3.205,log(mol/kg),https://doi.org/10.1021/tx900189p
1834,"Phosphonodithioic acid, ethyl-, S-4-chloro-m-tolyl O-methyl ester",Rat,CCP(=S)(OC)Sc1ccc(Cl)c(C)c1,-3.499,log(mol/kg),https://doi.org/10.1021/tx900189p
1835,"Phosphonodithioic acid, ethyl-, O-methyl S-phenyl ester",Rat,CCP(=S)(OC)Sc1ccccc1,-3.412,log(mol/kg),https://doi.org/10.1021/tx900189p
1836,"Phosphonodithioic acid, ethyl-, O-methyl ester, S-ester with N-(mercaptomethyl)phthalimide",Rat,CCP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,-4.648,log(mol/kg),https://doi.org/10.1021/tx900189p
1837,"Phosphonodithioic acid, ethyl-, O-methyl ester, S,S-diester with thiodimethanethiol (7CI)",Rat,CCP(=S)(OC)SCSCSP(=S)(CC)OC,-4.978,log(mol/kg),https://doi.org/10.1021/tx900189p
1838,"Phosphonodithioic acid, ethyl-, S-(4-chlorophenyl) O-(2-methylpropyl) ester (9CI)",Rat,CCP(=S)(OCC(C)C)Sc1ccc(Cl)cc1,-3.726,log(mol/kg),https://doi.org/10.1021/tx900189p
1839,"Phosphonodithioic acid, ethyl-, S-((1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl) O-(2-methylpropyl) ester",Rat,CCP(=S)(OCC(C)C)SCN1C(=O)c2ccccc2C1=O,-3.678,log(mol/kg),https://doi.org/10.1021/tx900189p
1840,"Phosphonothioic acid, ethyl-, O-(2-chloroethyl) ester, O-ester with p-hydroxybenzonitrile",Rat,CCP(=S)(OCCCl)Oc1ccc(C#N)cc1,-5.1610000000000005,log(mol/kg),https://doi.org/10.1021/tx900189p
1841,Ethanethiol,Rat,CCS,-1.96,log(mol/kg),https://doi.org/10.1021/tx900189p
1842,"1H-Imidazole, 1-(2-(ethylsulfonyl)ethyl)-2-methyl-5-nitro-",Rat,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-1.96,log(mol/kg),https://doi.org/10.1021/tx900189p
1843,"Phosphorothioic acid, O-(2-(ethylsulfonyl)ethyl) O,O-dimethyl ester (8CI,9CI)",Rat,CCS(=O)(=O)CCOP(=S)(OC)OC,-2.72,log(mol/kg),https://doi.org/10.1021/tx900189p
1844,"Phosphorothioic acid, O,O-dimethyl S-(2-(ethylsulfonyl)ethyl) ester",Rat,CCS(=O)(=O)CCSP(=O)(OC)OC,-3.908,log(mol/kg),https://doi.org/10.1021/tx900189p
1845,"Phosphorothioic acid, S-(2-(ethylsulfinyl)-1-methylethyl) O,O-dimethyl ester",Rat,CCS(=O)CC(C)SP(=O)(OC)OC,-3.403,log(mol/kg),https://doi.org/10.1021/tx900189p
